,WELL_ID,X_BHP,Y_BHP,h,V
144,110035800,451217,7598061,14,2620897251.0
145,110035900,450564,7597297,8,1381401648.0
146,110036000,449989,7596587,14,2620897251.0
147,110036100,449029,7595614,10,1868680390.0
148,110036200,448248,7594856,8,1381401648.0
149,110036300,450617,7595770,8,1381401648.0
150,110037100,462287,7609528,13,1842033225.5
151,110037300,463915,7609250,14,2620897251.0
152,110038000,456836,7603828,8,1381401648.0
153,110038200,454305,7601464,11,2515210175.5
154,110038300,453470,7600720,10,1868680390.0
155,110038400,452456,7599583,9,1832158764.0
156,110038500,452565,7599594,10,1868680390.0
157,110038600,450961,7598403,11,2515210175.5
158,110038700,450488,7597675,12,2363950158.0
159,110038800,449884,7596891,13,1842033225.5
160,110038900,449055,7596079,8,1381401648.0
161,110039000,448270,7595073,11,2515210175.5
162,110039100,447259,7594529,11,2515210175.5
163,110040000,464055,7611703,12,2363950158.0
164,110040100,461976,7610090,13,1842033225.5
165,110040200,464539,7611363,9,1832158764.0
166,110040800,455968,7604083,13,1842033225.5
167,110040900,456894,7604325,10,1868680390.0
168,110041000,455783,7603278,10,1868680390.0
169,110041200,454748,7602297,8,1381401648.0
170,110041300,454101,7601520,10,1868680390.0
171,110041500,452581,7599833,9,1832158764.0
172,110041600,450881,7599795,11,2515210175.5
173,110041800,450335,7597595,8,1381401648.0
174,110042000,448675,7595878,9,1832158764.0
175,110042100,447040,7595850,14,2620897251.0
176,110043000,462135,7609795,14,2620897251.0
177,110043100,463945,7612085,9,1832158764.0
178,110043700,457282,7606863,11,2515210175.5
179,110043800,457158,7604989,10,1868680390.0
180,110043900,455558,7603471,12,2363950158.0
181,110044100,454693,7602719,12,2363950158.0
182,110044200,453966,7601864,13,1842033225.5
183,110044400,452410,7600242,11,2515210175.5
184,110044500,449834,7597289,9,1832158764.0
185,110044600,450910,7598851,13,1842033225.5
186,110044700,449979,7597836,10,1868680390.0
187,110044800,449062,7596787,9,1832158764.0
188,110044900,448410,7596262,10,1868680390.0
189,110045000,447640,7595408,9,1832158764.0
190,110046200,463198,7612486,10,1868680390.0
191,110046900,456723,7605002,13,1842033225.5
192,110047000,455227,7603522,13,1842033225.5
193,110047200,454284,7602783,11,2515210175.5
194,110047300,453618,7601903,13,1842033225.5
195,110047500,452045,7600400,11,2515210175.5
196,110047600,451184,7599684,13,1842033225.5
197,110047700,450587,7598886,8,1381401648.0
198,110047800,449674,7598038,11,2515210175.5
199,110047900,449064,7597185,11,2515210175.5
200,110048000,448147,7596429,14,2620897251.0
201,110048100,447445,7595614,14,2620897251.0
202,110049200,464336,7611344,10,1868680390.0
203,110049900,456869,7605343,8,1381401648.0
204,110050000,454923,7603847,12,2363950158.0
205,110050100,455093,7603803,10,1868680390.0
206,110050300,453567,7602259,12,2363950158.0
207,110050400,452801,7601438,14,2620897251.0
208,110050500,451593,7600277,8,1381401648.0
209,110050600,451085,7599791,13,1842033225.5
210,110050700,450573,7599232,10,1868680390.0
211,110050800,449616,7598427,10,1868680390.0
212,110050900,448921,7597485,11,2515210175.5
213,110051000,447890,7596587,13,1842033225.5
214,110051100,447158,7595761,10,1868680390.0
215,110052300,460611,7608790,10,1868680390.0
216,110052900,456910,7606254,14,2620897251.0
217,110053000,456441,7605568,11,2515210175.5
218,110053100,454841,7604128,9,1832158764.0
219,110053200,454840,7603985,13,1842033225.5
220,110053400,453260,7602364,13,1842033225.5
221,110053500,452331,7601474,10,1868680390.0
222,110053700,450775,7599909,13,1842033225.5
223,110053800,450014,7599229,9,1832158764.0
224,110053900,449188,7598453,8,1381401648.0
225,110054000,448399,7597545,10,1868680390.0
226,110054100,447712,7596865,12,2363950158.0
227,110054200,446871,7595866,12,2363950158.0
228,110056000,455691,7605924,11,2515210175.5
229,110056100,456982,7606655,11,2515210175.5
230,110056300,453705,7602433,10,1868680390.0
231,110056500,452356,7601916,11,2515210175.5
232,110056800,449307,7598640,9,1832158764.0
233,110056900,448526,7598032,10,1868680390.0
234,110057000,447669,7597258,11,2515210175.5
235,110057100,446598,7596145,14,2620897251.0
236,110058500,459986,7608416,12,2363950158.0
237,110058800,459570,7606788,11,2515210175.5
238,110058900,454951,7607655,9,1832158764.0
239,110059000,458602,7609419,13,1842033225.5
240,110059200,455638,7606221,13,1842033225.5
241,110059300,454497,7604460,10,1868680390.0
242,110059400,453706,7603671,12,2363950158.0
243,110059500,453089,7603047,11,2515210175.5
244,110059600,452348,7602108,8,1381401648.0
245,110059700,451231,7601537,9,1832158764.0
246,110059800,450514,7600386,11,2515210175.5
247,110059900,450024,7599608,9,1832158764.0
248,110060000,449049,7599032,10,1868680390.0
249,110060100,448126,7598107,11,2515210175.5
250,110060200,447262,7597323,11,2515210175.5
251,110060300,446490,7596474,13,1842033225.5
252,110061800,459099,7609902,9,1832158764.0
253,110061900,457449,7609034,8,1381401648.0
254,110062000,457095,7606485,8,1381401648.0
255,110062100,455645,7606193,8,1381401648.0
256,110062200,455426,7606286,10,1868680390.0
257,110062300,454155,7604473,8,1381401648.0
258,110062400,453688,7603884,12,2363950158.0
259,110062500,452601,7603330,10,1868680390.0
260,110062600,451926,7602331,8,1381401648.0
261,110062700,451181,7601693,14,2620897251.0
262,110062800,450299,7600802,10,1868680390.0
263,110062900,449491,7600099,9,1832158764.0
264,110063000,449046,7599404,10,1868680390.0
265,110063100,448045,7598455,10,1868680390.0
266,110063200,447167,7597680,8,1381401648.0
267,110063300,446393,7596798,12,2363950158.0
268,110064900,458656,7609317,13,1842033225.5
269,110065100,455919,7606956,9,1832158764.0
270,110065200,455472,7606512,12,2363950158.0
271,110065300,455117,7606417,10,1868680390.0
272,110065400,454073,7604792,14,2620897251.0
273,110065500,453279,7604102,11,2515210175.5
274,110065600,452354,7603325,11,2515210175.5
