WELL_ID,X_BHP,Y_BHP,h
110059600,452348,7602108,8
110059700,451231,7601537,9
110059800,450514,7600386,11
110059900,450024,7599608,9
110060000,449049,7599032,10
110060100,448126,7598107,11
110060200,447262,7597323,11
110060300,446490,7596474,13
110061800,459099,7609902,9
110061900,457449,7609034,8
110062000,457095,7606485,8
110062100,455645,7606193,8
110062200,455426,7606286,10
110062300,454155,7604473,8
110062400,453688,7603884,12
110062500,452601,7603330,10
110062600,451926,7602331,8
110062700,451181,7601693,14
110062800,450299,7600802,10
110062900,449491,7600099,9
110063000,449046,7599404,10
110063100,448045,7598455,10
110063200,447167,7597680,8
110063300,446393,7596798,12
110064900,458656,7609317,13
110065100,455919,7606956,9
110065200,455472,7606512,12
110065300,455117,7606417,10
110065400,454073,7604792,14
110065500,453279,7604102,11
110065600,452354,7603325,11
110065700,451731,7602558,8
110065800,451026,7601763,13
110065900,450185,7600903,11
110066000,448948,7599998,13
110066100,448695,7599574,12
110066200,447863,7598696,12
110066300,446900,7597823,12
110066400,446050,7596873,11
110067800,458631,7609767,14
110067900,457558,7608982,10
110068000,459524,7610877,13
110068100,456341,7607597,9
110068200,455491,7606735,10
110068300,456801,7608269,8
110068400,453993,7605028,12
110068500,453061,7604299,13
110068700,451222,7602394,10
110068800,450876,7601828,12
110068900,450114,7601024,12
110069200,447758,7599063,10
110069300,446790,7598135,10
110069400,445911,7597162,8
110070100,448514,7599027,9
110070200,448150,7598901,8
110070300,448269,7599251,12
110070400,447954,7599223,10
110070900,456563,7608695,10
110071000,457504,7609232,14
110071100,456607,7608503,12
110071200,456577,7608261,13
110071800,451993,7603613,12
110071900,451303,7602703,9
110072208,445759,7598597,12
110072400,446040,7598264,13
110073600,457575,7608794,9
110073700,458956,7610542,11
110073800,457542,7609397,9
110073900,458882,7610752,9
110074000,456543,7608435,12
110074600,451821,7604060,10
110074700,450948,7602757,13
110075100,446011,7598395,9
110075200,446089,7597883,14
110076500,459674,7612068,12
110076600,458838,7610946,12
110076700,457399,7609652,11
110076800,456645,7608316,8
110076900,456505,7608612,12
110077500,449807,7602145,9
110077600,451006,7603016,11
110110200,463618,7603520,10
110111000,454854,7596219,8
110113200,452568,7596877,11
110113400,451885,7595386,11
110113600,451862,7595720,11
110115700,463025,7603079,14
110116300,456363,7598102,9
110118700,450596,7594412,9
110125100,451492,7596616,13
110127200,453131,7598444,8
110127900,449054,7594108,14
110128800,448503,7592442,13
110129800,456612,7602131,13
110129900,455262,7600844,9
110130100,456231,7601475,11
110130700,448849,7594319,10
110132600,454962,7600957,9
110132800,455524,7601354,14
110133300,449470,7595431,9
110133400,448600,7594531,9
110133500,447633,7593418,13
110135300,456276,7602659,8
110135400,454636,7601097,13
110135500,454141,7600516,8
110136100,449194,7595563,14
110136200,448401,7594760,8
110136300,447506,7594050,12
110138000,456899,7603671,12
110138100,455863,7602850,13
110138200,454436,7601306,12
110138300,453827,7600644,10
110138900,449057,7595874,13
110139100,447314,7594352,14
110141000,456482,7603804,13
110141200,454205,7601582,9
110142100,447693,7595224,9
110143800,456915,7604546,9
110143900,455625,7603332,14
110144000,455658,7602973,10
110144100,454689,7602458,10
110144200,452817,7600455,14
110144600,450524,7598245,11
110144700,449678,7597292,11
110144800,449685,7596840,11
110144900,448380,7596017,8
110145000,446093,7596724,11
110147000,455372,7603492,14
110147100,455316,7603408,12
110147200,454532,7602722,9
110147300,452481,7600533,10
110147700,450689,7598782,11
110147800,449635,7597751,11
110147900,449144,7597067,14
110148000,448319,7596393,11
110148100,447550,7595516,8
110150300,452558,7601028,8
110150500,452842,7601205,9
110150700,450479,7598985,11
110150800,449612,7598197,12
110150900,448873,7597221,8
110151000,448058,7596549,12
110151100,447323,7595714,11
110153500,452697,7601558,8
110153800,450295,7599304,13
110153900,449437,7598455,9
110154000,448638,7597447,10
110154100,447712,7596628,10
110154200,446240,7596810,12
110156500,452352,7601701,14
110156700,450523,7600002,13
110157000,447621,7596980,11
110157100,446645,7595988,9
110159300,455494,7604934,10
110159500,452757,7603048,8
110159600,452499,7602069,9
110159700,451572,7601374,8
110159800,450990,7600738,10
110160000,449239,7599000,11
110160100,448426,7598143,12
110160200,447521,7597312,11
110160300,446542,7596310,9
110162300,454949,7605152,14
110162600,452195,7602172,13
110162800,450395,7600692,11
110162900,449688,7599903,11
110163100,448088,7598315,11
110163200,447232,7597526,8
110163300,446439,7596630,13
110165400,454719,7605348,14
110165600,452256,7603547,10
110165700,451813,7602432,10
110166100,448772,7599461,12
110166200,447899,7598524,13
110166300,447058,7597776,8
110166400,446333,7596950,14
110168500,453919,7604973,11
110169000,448616,7600233,11
110169100,448389,7599906,12
110169200,447837,7598888,14
110169300,446845,7597981,12
110169400,445963,7597010,9
110173900,455995,7608947,10
110174000,456561,7608887,13
110175200,448319,7599850,9
110176500,459667,7611880,10
110176800,456621,7608954,13
110202900,459627,7611575,8
110300800,461735,7603934,14
110300900,461537,7603842,12
110301000,461196,7604973,14
110301100,462262,7604283,14
110301200,461995,7604067,9
110301700,456230,7600978,13
110301800,456306,7601256,10
110302100,458847,7599995,10
110302400,453756,7595245,9
