,WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h,V
109,110029400,458548,7605662,457525,7606026,9,1832158764.0
110,110029500,458894,7604284,458298,7603626,13,1842033225.5
111,110029800,455736,7601546,456501,7602229,11,2515210175.5
112,110029900,455593,7601311,454951,7600677,13,1842033225.5
113,110030000,454856,7600735,454495,7600404,8,1381401648.0
114,110030100,452484,7598319,453798,7599533,13,1842033225.5
115,110030300,452462,7598425,451777,7597742,10,1868680390.0
116,110030400,451748,7597494,450988,7596874,11,2515210175.5
117,110030500,450994,7596726,450290,7596150,10,1868680390.0
118,110030600,450190,7595938,449479,7595210,14,2620897251.0
119,110030700,449551,7595191,448729,7594424,9,1832158764.0
120,110030800,448177,7594927,447323,7594069,12,2363950158.0
121,110031400,462274,7607694,462168,7607113,12,2363950158.0
122,110031600,462989,7608664,463622,7609313,11,2515210175.5
123,110031700,462454,7607873,462255,7608524,10,1868680390.0
124,110031800,462861,7608879,463481,7609648,13,1842033225.5
125,110032100,458539,7605392,457439,7605301,9,1832158764.0
126,110032400,456376,7602630,457051,7603001,14,2620897251.0
127,110032500,455611,7601686,456427,7602365,8,1381401648.0
128,110032600,455542,7601733,454807,7601046,14,2620897251.0
129,110032700,454803,7600948,454260,7600427,8,1381401648.0
130,110032800,452606,7598833,453604,7599726,13,1842033225.5
131,110033000,452168,7598574,451688,7598091,10,1868680390.0
132,110033100,451657,7597799,450830,7597122,13,1842033225.5
133,110033200,450902,7597075,450113,7596339,12,2363950158.0
134,110033300,450041,7596207,449350,7595519,11,2515210175.5
135,110033400,449299,7595380,448533,7594693,14,2620897251.0
136,110033500,448385,7594651,447567,7593617,12,2363950158.0
137,110034300,464430,7610631,464464,7609504,9,1832158764.0
138,110034600,462825,7609180,463270,7609890,12,2363950158.0
139,110035200,456400,7602913,457022,7603453,12,2363950158.0
140,110035300,455728,7602260,456098,7602689,9,1832158764.0
141,110035400,455223,7601798,454534,7601177,9,1832158764.0
142,110035500,454410,7601003,453973,7600569,9,1832158764.0
143,110035600,453800,7600362,452325,7599180,14,2620897251.0
144,110035800,452048,7598867,451217,7598061,14,2620897251.0
145,110035900,451302,7597964,450564,7597297,8,1381401648.0
146,110036000,450534,7597125,449989,7596587,14,2620897251.0
147,110036100,449727,7596319,449029,7595614,10,1868680390.0
148,110036200,449003,7595510,448248,7594856,8,1381401648.0
149,110036300,449827,7594935,450617,7595770,8,1381401648.0
150,110037100,463408,7610776,462287,7609528,13,1842033225.5
151,110037300,463037,7608363,463915,7609250,14,2620897251.0
152,110038000,455970,7602915,456836,7603828,8,1381401648.0
153,110038200,455128,7602177,454305,7601464,11,2515210175.5
154,110038300,454279,7601309,453470,7600720,10,1868680390.0
155,110038400,453563,7600600,452456,7599583,9,1832158764.0
156,110038500,453040,7599984,452565,7599594,10,1868680390.0
157,110038600,451657,7598914,450961,7598403,11,2515210175.5
158,110038700,451268,7598294,450488,7597675,12,2363950158.0
159,110038800,450476,7597491,449884,7596891,13,1842033225.5
160,110038900,449696,7596717,449055,7596079,8,1381401648.0
161,110039000,448941,7595911,448270,7595073,11,2515210175.5
162,110039100,448062,7595289,447259,7594529,11,2515210175.5
163,110040000,463409,7610938,464055,7611703,12,2363950158.0
164,110040100,463155,7611098,461976,7610090,13,1842033225.5
165,110040200,463800,7610416,464539,7611363,9,1832158764.0
166,110040800,456694,7604761,455968,7604083,13,1842033225.5
167,110040900,456508,7603955,456894,7604325,10,1868680390.0
168,110041000,456311,7603865,455783,7603278,10,1868680390.0
169,110041200,454152,7601711,454748,7602297,8,1381401648.0
170,110041300,453366,7600890,454101,7601520,10,1868680390.0
171,110041500,451769,7599202,452581,7599833,9,1832158764.0
172,110041600,450259,7599165,450881,7599795,11,2515210175.5
173,110041800,449468,7596850,450335,7597595,8,1381401648.0
174,110042000,447964,7595376,448675,7595878,9,1832158764.0
175,110042100,446443,7595263,447040,7595850,14,2620897251.0
176,110043000,463224,7610903,462135,7609795,14,2620897251.0
177,110043100,463235,7611237,463945,7612085,9,1832158764.0
